(8, 20, 21, 9) 41 [[0, 0, 0, 0], [0, 0, 0, 1], [0, 0, 1, 0], [0, 1, 0, 0], [1, 0, 0, 0], [1, 0, 1, 0], [1, 1/5, 1/5, 1/5], [1, 1/6, 2/3, 1/6]]
(8, 20, 21, 9) 41 [[0, 0, 0, 0], [0, 0, 0, 1], [0, 0, 1, 0], [0, 1, 0, 0], [1/3, -1/3, 0, 0], [1, 0, 0, 0], [1, 1, 1, 0], [1/2, 1, 3/2, 0]]
(8, 20, 21, 9) 41 [[0, 0, 0, 0], [0, 0, 0, 1], [0, 0, 1, 0], [0, 1/2, -1/2, 0], [0, 1, 0, 0], [1, 0, -1, 0], [1, 0, 0, 0], [1, 1, 1, 0]]
(8, 20, 21, 9) 42 [[0, 0, 0, 0], [0, 0, 0, 1], [0, 0, 1, 0], [0, 1/2, -1/2, 0], [0, 1, 0, 0], [1, 0, 0, 0], [1, 1, 0, 1], [1, 1, 1, 0]]
(8, 20, 21, 9) 42 [[0, 0, 0, 0], [0, 0, 0, 1], [0, 0, 1, 0], [0, 1/2, -1/2, 0], [0, 1, 0, 0], [1, 0, 0, 0], [1, 1, 1, 0], [1, -1/2, 1/2, 1]]
(8, 20, 21, 9) 42 [[0, 0, -1, 1], [0, 0, 0, 0], [0, 0, 0, 1], [0, 0, 1, 0], [0, 1, 0, 0], [0, 2, 1, 0], [1, 0, 0, 0], [1, 1, 1, 0]]
(8, 20, 21, 9) 42 [[0, 0, 0, 0], [0, 0, 0, 1], [0, 0, 1, 0], [0, 1/2, -1/2, 0], [0, 1, 0, 0], [0, 1, -1/3, 1/3], [1, 0, 0, 0], [1, 1, 1, 0]]
(8, 20, 21, 9) 42 [[-1, 1, 0, 1], [0, 0, 0, 0], [0, 0, 0, 1], [0, 0, 1, 0], [0, 1, 0, 0], [1/3, -1/3, 0, 0], [1, 0, 0, 0], [1, 1, 1, 0]]
(8, 20, 21, 9) 42 [[-1, 0, 1, 1], [0, 0, 0, 0], [0, 0, 0, 1], [0, 0, 1, 0], [0, 1, 0, 0], [0, 1, 1, 1], [1, 0, 0, 0], [1, 1, 1, 0]]
(8, 20, 21, 9) 42 [[0, 0, 0, 0], [0, 0, 0, 1], [0, 0, 1, 0], [0, 1, 0, 0], [1, 0, 0, 0], [1, 0, 1, 0], [1, 1, 0, 0], [1, 1, 0, 1]]
(8, 20, 21, 9) 42 [[0, 0, -1, 1], [0, 0, 0, 0], [0, 0, 0, 1], [0, 0, 1, 0], [0, 1, 0, 0], [1, 0, 0, 0], [1/2, 0, 3/2, 0], [1, 1, 1, 0]]
(8, 21, 22, 9) 41 [[0, 0, 0, 0], [0, 0, 0, 1], [0, 0, 1, 0], [0, 1, 0, 0], [1/3, -1/3, 0, 0], [1, 0, 0, 0], [1, 1, 1, 0], [1/2, -1/6, 0, 1/3]]
